Smiles,MeanValue
C(C(=O)C(=O)O)S,1771.6416674999998
C(C(=O)C(=O)[O-])(C(=O)[O-])O,296.6666667
C(C(=O)C(=O)[O-])C(=O)N,1.15
C(C(=O)C(=O)[O-])C(=O)[O-],33.0
C(C(=O)C(=O)[O-])O,583.7266666
C(C(=O)C(C(C(=O)C(=O)[O-])O)O)O,8.315000000000001
C(C(=O)CC(=O)O)C(=O)C=CC(=O)O,238.92
C(C(=O)CO)O,10.025882352941176
C(C(=O)COP(=O)(O)O)O,477.86751438871664
C(C(=O)NCC(=O)NCC(=O)O)N,21.1
C(C(=O)NCC(=O)O)N,10900.0
C(C(=O)O)(Cl)Cl,0.002
C(C(=O)O)(N)NC(=O)N,627.0
C(C(=O)O)(NC(=O)N)O,163.43800000000002
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,476.7
C(C(=O)O)N,4.231904
C(C(=O)O)N=C(N)N,0.081
C(C(=O)O)O,10.415066666666666
C(C(=O)O)OP(=O)(O)O,35.01333333333333
C(C(=O)O)P(=O)(O)O,0.3954
C(C(=O)[O-])(NC(=O)N)NC(=O)N,288.3333333333333
C(C(=O)[O-])(NC(=O)N)O,55.0
C(C(=O)[O-])Br,27.0
C(C(=O)[O-])OC(C(C(=O)[O-])O)C(=O)[O-],0.59
C(C(C(=O)C(=O)O)C(=O)O)C(=O)O,24.273666666666667
C(C(C(=O)CO)O)O,13.19875
C(C(C(=O)NC(CO)C(=O)O)N)C(=O)O,96.0
C(C(C(=O)NCC(=O)O)N)O,42.0
C(C(C(=O)NCC(=O)O)N)S,142.34666654
C(C(C(=O)O)N)C(=O)N,270.0670924259091
C(C(C(=O)O)N)C(=O)NCC(=O)O,0.93
C(C(C(=O)O)N)C(=O)O,64.33375242202727
C(C(C(=O)O)N)Cl,5.620207692307693
C(C(C(=O)O)N)N,104.3
C(C(C(=O)O)N)O,71.38825089605376
C(C(C(=O)O)N)ONC(=O)N,2200.0
C(C(C(=O)O)N)OP(=O)(O)O,2769.5558484848184
C(C(C(=O)O)N)OS(=O)(=O)O,0.49
C(C(C(=O)O)N)S,134.65397765151135
C(C(C(=O)O)N)S(=O)O,1.875
C(C(C(=O)O)N)SCC(=O)O,6.0
C(C(C(=O)O)N)SCSCC(C(=O)O)N,50.0
C(C(C(=O)O)N)SS(=O)(=O)O,2.8
C(C(C(=O)O)N)SSCC(C(=O)O)N,23.95
C(C(C(=O)O)N)[Se],12.272673999999999
C(C(C(=O)O)NC(=O)N)C(=O)O,160.0
C(C(C(=O)O)O)(C(=O)O)N,4.913333333333333
C(C(C(=O)O)O)(C(=O)O)O,1.46346
C(C(C(=O)O)O)C(=O)C(=O)O,0.25
C(C(C(=O)O)O)C(=O)O,164.24940936708862
C(C(C(=O)O)O)O,3.42
C(C(C(=O)O)O)OP(=O)(O)O,122.94764367810345
C(C(C(=O)O)OP(=O)(O)O)O,250.98190471428572
C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O,129.33695237857143
C(C(C(=O)[O-])O)(C(=O)[O-])O,50.76651111666666
C(C(C(=O)[O-])O)(C(=O)[O-])[NH3+],10.93
C(C(C(=O)[O-])O)C(=O)[O-],4.5
C(C(C(=O)[O-])O)O,23.813136363636364
C(C(C(=O)[O-])[NH3+])S(=O)[O-],0.35
C(C(C(C(=O)C(C(=O)O)O)O)O)OP(=O)(O)O,5.312608695652174
C(C(C(C(=O)C(CO)O)O)O)O,0.6772
C(C(C(C(=O)CO)O)O)O,422.03285714285715
C(C(C(C(=O)CO)O)O)OP(=O)(O)O,604.2013285714286
C(C(C(C(=O)COP(=O)(O)O)O)O)OP(=O)(O)O,7.466666666666667
C(C(C(C(=O)O)N)O)O,34.0
C(C(C(C(=O)O)O)C(=O)O)C(=O)O,8048.604787878182
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,15.13
C(C(C(C(=O)O)O)O)OP(=O)(O)O,3.4
C(C(C(C(=O)[O-])O)O)(C(C(=O)[O-])O)O,21.0
C(C(C(C(=O)[O-])O)O)C(=O)C(=O)[O-],5.010000000000001
C(C(C(C(=O)[O-])O)O)O,32.6
C(C(C(C(C(=O)C(=O)O)O)O)O)O,39.333333333333336
C(C(C(C(C(=O)C(=O)[O-])O)O)O)O,8.4
C(C(C(C(C(=O)C=O)O)O)O)O,63.2
C(C(C(C(C(=O)CO)O)O)O)O,7.887899999999999
C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O,325.25032471428574
C(C(C(C(C(=O)[O-])O)O)O)O,2.4
C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O,0.07264999999999999
C(C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O,42.6
C(C(C(C(C(C(=O)O)O)O)O)O)O,93.92777778333334
C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O,36.51444444444444
C(C(C(C(C(C(=O)[O-])O)O)O)O)O,0.8300000000000001
C(C(C(C(C(C(C=O)O)O)O)O)O)O,4.4
C(C(C(C(C(C(CO)O)O)O)O)O)O,8.0
C(C(C(C(C(C=O)(O)F)O)O)O)O,0.05
C(C(C(C(C(C=O)F)O)O)O)O,5.71
C(C(C(C(C(C=O)O)(O)F)O)O)O,0.275
C(C(C(C(C(C=O)O)F)O)O)O,0.94
C(C(C(C(C(C=O)O)O)(O)F)O)O,0.263333333
C(C(C(C(C(C=O)O)O)O)O)O,129.44
C(C(C(C(C(C=O)O)O)O)O)OC1C(C(C(C(O1)C(=O)O)O)O)O,69.2
C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O,3.1599999999999997
C(C(C(C(C(C=O)O)O)O)S)O,6.605
C(C(C(C(C(C=O)OP(=O)(O)O)O)O)O)OP(=O)(O)O,135.0
C(C(C(C(C(CO)O)O)O)O)C(=O)C(=O)O,2.283333333333333
C(C(C(C(C(CO)O)O)O)O)O,95.97449999999999
C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O,10.6
C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O,0.222
C(C(C(C(C=O)O)O)O)O,44.91308888888889
C(C(C(C(C=O)O)O)O)OP(=O)(O)O,19.026666666666667
C(C(C(C(CO)O)O)O)O,180.36604166666666
C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O,19.55
C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)O,0.5633333333333334
C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N,5.566666667
C(C(C(C(COP(=O)(O)O)O)O)O)O,1.8
C(C(C(C(COP(=O)([O-])[O-])O)O)O)C(=O)C(=O)[O-],6.8
C(C(C(C=O)O)O)O,12.811428571428573
C(C(C(C=O)O)O)OP(=O)(O)O,28.252000000000002
C(C(C(CO)O)O)C(=O)C(=O)O,28.2
C(C(C(CO)O)O)C(=O)C(=O)[O-],20.81
C(C(C(CO)O)O)C(=O)C=O,0.4665
C(C(C(CO)O)O)O,38.4725
C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O,0.36
C(C(C(CS)O)O)S,339.99666666666667
C(C(C1C(=C(C(=O)O1)O)O)O)O,82.1986666666
C(C(C1C(=O)C(=O)C(=O)O1)O)O,9.733333335000001
C(C(C1C(C(C(=O)O1)O)O)O)O,76.15
C(C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O)OP(=O)(O)O,23.0
C(C(C=O)O)C(C(CO)O)O,0.085
C(C(C=O)O)O,22.280235354545457
C(C(C=O)O)OP(=O)(O)O,3153.224146067416
C(C(C=O)O)S(=O)(=O)O,11.8
C(C(CBr)Br)Br,3.6
C(C(CCl)Cl)Cl,0.10833333333333334
C(C(CN)O)C(=O)O,0.26
C(C(CO)O)O,25.095605550000002
C(C(CO)OP(=O)(O)O)O,42.693333333333335
C(C(COP(=O)(O)O)O)O,20.378472222166664
C(C(COP(=O)([O-])[O-])O)O,12.25
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],3.72
C(C1(C(C(C(C(O1)F)O)O)O)F)O,0.0051
C(C1C(C(C(=O)O1)O)O)O,35.95
C(C1C(C(C(C(=O)O1)O)O)O)O,17.4
C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)(O)O,14.3
C(C1C(C(C(C(O1)F)O)O)O)O,121.0
C(C1C(C(C(C(O1)O)N)O)O)O,12.731666666666667
C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O,10.92478431382353
C(C1C(C(C(C(O1)O)O)O)O)O,594.0524675838926
C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O,2982.8533384615384
C(C1C(C(C(C(O1)O)O)O)O)S(=O)(=O)O,33.8
C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O,1.3
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,52.33444444444444
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,81.56666666666666
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O,61.005
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)O,85.0
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O)O)O,106.0
C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)O)O)O)O,95.5
C(C1C(C(C(C(O1)OC(C(C(CO)O)O)C(=O)CO)O)O)O)O,8.3416666665
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(=O)CO)O)O)O)O)O,0.45
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C(=O)O)O)O)O)O)O)O,140.03333333333333
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C(=O)[O-])O)O)O)O)O)O,306.0
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O,125.0
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(CO)O)O)O)O)O)O,0.165
C(C1C(C(C(C(O1)OC(C=O)C(C(C(CO)O)O)O)O)O)O)O,48.85
C(C1C(C(C(C(O1)OC(CO)C(=O)[O-])O)O)O)O,0.00033
C(C1C(C(C(C(O1)OC(CO)C(C(C(=O)CO)O)O)O)O)O)O,0.37
C(C1C(C(C(C(O1)OC(CO)CO)O)O)O)O,14.0
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,324.0731160683846
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)CO)O)O)O)O,26.3
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)COC4(C(C(C(O4)CO)O)O)CO)O)O)O)O,69.12857142857142
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)COC4(C(C(C(O4)CO)O)O)COC5(C(C(C(O5)CO)O)O)COC6(C(C(C(O6)CO)O)O)COC7(C(C(C(O7)CO)O)O)COC8(C(C(C(O8)CO)O)O)COC9(C(C(C(O9)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)CO)O)O)O)O,272.15
C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)(O)O)O)O)CO)O)O)O)O,82.6
C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)O)O)O,3.15
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O,126.28703703699999
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O,8.014941176470588
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)F)CO)O)O)O)O,0.071
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,264.00319047619047
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.N,2545.5753333333337
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,197.33925925925925
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O,118.4991358037037
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)O)CO)CO)CO)CO)O)O)O)O,15.74
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)O)CO)CO)CO)CO)CO)O)O)O)O,148.3304090909091
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)O)CO)CO)CO)CO)CO)CO)O)O)O)O,191.772
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O,11.1333333
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC4C(OC(C(C4O)O)O)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)CO)O)O)O)O,1102.08
C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,127.35333333333334
C(C1C(C(C(C(O1)OCC(C(C(C(C=O)OC2C(C(C(C(O2)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O,137.1275
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,60.26417647058823
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O)O,37.050000000000004
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O)O)O)O,152.0957142857143
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,264.4566666666667
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O,74.28571428571429
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)O)O)O)O)O)O)O)O)O)O)O,133.4
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)OCC4C(C(C(C(O4)O)O)O)O)O)O)O)O)O)O)O)O)O)O,145.69
C(C1C(C(C(C(O1)OCC2C(C(C(O2)(CO)O)O)O)O)O)O)O,0.583333333
C(C1C(C(C(C(O1)OP(=O)(O)O)N)O)O)O,697.919090909091
C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O,66.69721188235293
C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)OP(=O)(O)O,3.458108
C(C1C(C(C(C(O1)OP(=O)([O-])[O-])O)O)O)O,77.0
C(C1C(C(C(C(O1)OP(=O)([O-])[O-])[NH3+])O)O)OP(=O)([O-])[O-],7.9
C(C1C(C(C(O1)(CO)O)O)O)O,4.479333333333333
C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O,4.06185
C(C1C(C(C(O1)(CO)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O,82.6
C(C1C(C(C(O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O,0.1
C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)O,2.499999995875
C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O,28.83076923076923
C(C1C(C(C(O1)N2C3=C(C(=O)NC(=N3)N)NC2=O)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-],1.57
C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O,2.3
C(C1C(C(C(O1)O)O)O)OP(=O)(O)O,409.970225
C(C1C(C(C(O1)O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-],7.4
C(C1C(C(C(O1)OCC2C(C(C(O2)O)O)O)O)O)O,32.0
C(C1C(C(C(O1)OCC2C(C(C(O2)OCC3C(C(C(O3)O)O)O)O)O)O)O)O,88.0
C(C1C(C(C(O1)OCC2C(C(C(O2)OCC3C(C(C(O3)OCC4C(C(C(O4)O)O)O)O)O)O)O)O)O)O,1450.0
C(C1C(C(C(O1)OP(=O)(O)O)O)O)O,302.5
C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,6.556900000000001
C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,588.0
C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O,509.0
C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O,537.4666666666667
C(C=CC(=O)C(=O)[O-])C(=O)[O-],108.4
C(C=CC(=O)O)C(=O)C(=O)O,34.015
C(C=CC=C(C(=O)O)O)C(=O)O,3.0
C(C=CCO)O,3.83333333
C(C=O)C(=O)[O-],7.4
C(C=O)C(C(=O)O)N,50.00571428571429
C(C=O)C(C(=O)[O-])N,176.03170588235292
C(C=O)C(C(C(CO)O)O)O,3.103333333333333
C(C=O)C(C(CO)O)O,0.6630476185714286
C(C=O)C=O,0.13
C(C=O)O,14.35833333375
C(C=O)P(=O)(O)O,16.7
C(C=[N+](O)[O-])C(=O)[O-],430.0
C(CBr)Br,28.999411764705883
C(CBr)CBr,2.63
C(CBr)O,3.0
C(CC(=O)C(=O)O)C=O,7.1
C(CC(=O)C(=O)O)CC(=O)O,5.07
C(CC(=O)C(=O)[O-])C=O,63.85
C(CC(=O)N)C(=O)C(=O)O,17.5
C(CC(=O)N)C(C(=O)N)N,25.0
C(CC(=O)N)C(C(=O)NC(CCC(=O)N)C(=O)O)N,17.0
C(CC(=O)N)C(C(=O)NC(CCC(=O)O)C(=O)O)N,16.4
C(CC(=O)N)C(C(=O)NCC(=O)O)N,22.0
C(CC(=O)N)C(C(=O)O)N,100.95794500075
C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,134.78898198608107
C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N,14.265249999999998
C(CC(=O)NC(CSC(=O)C(CO)O)C(=O)NCC(=O)O)C(C(=O)O)N,1490.0
C(CC(=O)NC(CSC=O)C(=O)NCC(=O)O)C(C(=O)O)N,28.5
C(CC(=O)NC(CSCO)C(=O)NCC(=O)O)C(C(=O)O)N,13.268055555583333
C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N,24026.666666666668
C(CC(=O)NC(CSS)C(=O)NCC(=O)O)C(C(=O)O)N,52.333333333333336
C(CC(=O)NC(CSSCC(C(=O)NCC(=O)N)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)N)C(C(=O)O)N,249.7
C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N,326.51428580999993
C(CC(=O)NO)C(C(=O)O)N,0.15
C(CC(=O)NP(=O)(O)O)C(C(=O)O)N,0.095
C(CC(=O)O)C(=O)C(=O)O,76.30645454545454
C(CC(=O)O)C(=O)CN,16.1
C(CC(=O)O)C(=O)N,0.0239
C(CC(=O)O)C(C(=O)O)N,21965.484816669723
C(CC(=O)O)C(C(=O)O)N=CN,7.80625
C(CC(=O)O)C(C(=O)O)NC(=O)N,4.45
C(CC(=O)O)C(C(=O)O)O,122.61632140000002
C(CC(=O)O)C(C(C(=O)O)O)C(=O)O,51.675
C(CC(=O)O)C=O,22.6
C(CC(=O)O)CC(=O)O,0.27
C(CC(=O)O)CN,4.717626875
C(CC(=O)O)CN=C(N)N,534.8
C(CC(=O)[O-])C(=O)N,2.8
C(CC(=O)[O-])C(=O)[O-],114.48454545454545
C(CC(=O)[O-])C=O,3.9270370366666665
C(CC(C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)O)N)CN=C(N)N,0.56
C(CC(C(=O)NCC(=O)NC(CC(=O)O)C(=O)O)N)CN=C(N)N,3781.0
C(CC(C(=O)NCC(=O)O)N)CN=C(N)N,13520.0
C(CC(C(=O)O)N)CC(=O)O,22.838
C(CC(C(=O)O)N)CC(C(=O)O)N,19.8
C(CC(C(=O)O)N)CC(C(=O)O)NC(=O)CCC(=O)O,254.3333335
C(CC(C(=O)O)N)CN,305.7471428571428
C(CC(C(=O)O)N)CN=C(N)N,123.40869373626373
C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,245.7775
C(CC(C(=O)O)N)CN=C(N)NN,0.12
C(CC(C(=O)O)N)CN=C(N)NO,0.33
C(CC(C(=O)O)N)CN=C(N)NP(=O)(O)O,56.388888888888886
C(CC(C(=O)O)N)CNC(=O)N,90.0
C(CC(C(=O)O)N)CNCCCN,3.2
C(CC(C(=O)O)NC(=O)CNC(=O)CN)CN=C(N)N,1.9
C(CC(C(=O)O)NCCC(=O)O)CN=C(N)N,0.324
C(CC1=NNN=N1)CN,0.48
C(CC=O)CC=O,6.0675
C(CC=O)CN,7.7
C(CCC(=O)N)CC(CCS)S,544.5
C(CCC(=O)O)CC(=O)O,0.0045
C(CCC(=O)O)CC(CCS)S,1.7
C(CCC(=O)O)CCC(=O)O,7.45
C(CCC(CO)O)CC(CO)O,0.5
C(CCCCCC(=O)O)CCCCCO,5.914102561538462
C(CCCCCC(=O)[O-])CCCCCO,2.11
C(CCCCCCCC(=O)O)CCCCCCCO,1.66666667
C(CCCCO)CCCO,3.35
C(CCCN)CCN,17580.0
C(CCCO)CCO,2.56666667
C(CCN)CC(=O)O,0.03
C(CCN)CC(C(=O)NCC(=O)NCC(=O)O)N,1460.0
C(CCN)CC(C(=O)O)N,39.78489444433333
C(CCN)CCN,9062.196666666667
C(CCN)CN,1510.656157894737
C(CCN=C(N)N)CC(C(=O)O)N,13.85
C(CCN=C(N)N)CN,0.42859555555555556
C(CCNCCCN)CN,710.1282
C(CCNCCCN)CNCCCN,8.652261538461538
C(CCNCCCNC(=O)CNC(=O)C(CS)NC(=O)CCC(C(=O)O)N)CN,4.675
C(CCNCCCNC(=O)CNC(=O)C(CSSCC(C(=O)NCC(=O)NCCCNCCCCN)NC(=O)CCC(C(=O)O)N)NC(=O)CCC(C(=O)O)N)CN,85.4
C(CCl)CCl,0.655
C(CI)CI,1.2
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Fe+3],3.53
C(CN)C(=O)O,1.794
C(CN)C(C(=O)O)N,2.813333333333334
C(CN)C1=NNN=N1,0.26
C(CN)CN,9740.039999999999
